"cityName","currency"
"Villa Ángela","Argentine peso"
"Cinco Saltos","Argentine peso"
"San José de Metán","Argentine peso"
"General San Martín, San Juan","Argentine peso"
"Realicó","Argentine peso"
"Villa Aberastain","Argentine peso"
"Villa del Salvador","Argentine peso"
"Río Segundo, Córdoba","Argentine peso"
"Villa San Agustín","Argentine peso"
"Brinkmann, Córdoba","Argentine peso"
"Ingeniero Pablo Nogués","Argentine peso"
"Tres Lagunas","Argentine peso"
"Muñiz, Buenos Aires","Argentine peso"
"Villa Elvira","Argentine peso"
"Balcarce, Buenos Aires","Argentine peso"
"Junín, Buenos Aires","Argentine peso"
"Romang, Santa Fe","Argentine peso"
"Rosario","Argentine peso"
"Bella Vista, Corrientes","Argentine peso"
"Cachi, Argentina","Argentine peso"
"Castelar","Argentine peso"
"Deán Funes, Argentina","Argentine peso"
"Haedo, Argentina","Argentine peso"
"Las Rosas, Santa Fe","Argentine peso"
"Pehuajó","Argentine peso"
"Pinamar","Argentine peso"
"Rawson, Chubut","Argentine peso"
"Reconquista, Santa Fe","Argentine peso"
"Recreo","Argentine peso"
"Río Tercero, Córdoba","Argentine peso"
"San Lorenzo, Santa Fe","Argentine peso"
"Ushuaia","Argentine peso"
"Zárate, Buenos Aires","Argentine peso"
"Boulogne Sur Mer","Argentine peso"
"Casilda","Argentine peso"
"Cañada de Gómez","Argentine peso"
"Granadero Baigorria","Argentine peso"
"La Quiaca","Argentine peso"
"Lincoln, Buenos Aires","Argentine peso"
"Longchamps, Argentina","Argentine peso"
"Montecarlo, Misiones","Argentine peso"
"Tortuguitas","Argentine peso"
"Yerba Buena, Tucumán","Argentine peso"
"Guernica, Argentina","Argentine peso"
"San Martín, Buenos Aires","Argentine peso"
"Coronel Du Graty","Argentine peso"
"Olavarría, Argentina","Argentine peso"
"Plaza Huincul","Argentine peso"
"Frías, Santiago del Estero","Argentine peso"
"Ituzaingó, Corrientes","Argentine peso"
"Benito Juárez, Buenos Aires","Argentine peso"
"Charata","Argentine peso"
"Barranqueras","Argentine peso"
"Claypole, Argentina","Argentine peso"
"Pérez, Santa Fe","Argentine peso"
"Santa Rosa, Mendoza","Argentine peso"
"Villa del Rosario, Entre Ríos","Argentine peso"
"Andalgalá","Argentine peso"
"Bariloche","Argentine peso"
"Paraná, Entre Ríos","Argentine peso"
"Salta","Argentine peso"
"Chacabuco, Buenos Aires","Argentine peso"
"Córdoba, Argentina","Argentine peso"
"Rosario de la Frontera","Argentine peso"
"Tartagal, Salta","Argentine peso"
"Avellaneda","Argentine peso"
"Corrientes","Argentine peso"
"La Rioja, Argentina","Argentine peso"
"Mercedes, Corrientes","Argentine peso"
"San Juan, Argentina","Argentine peso"
"San Rafael, Mendoza","Argentine peso"
"Bahía Blanca","Argentine peso"
"Choele Choel","Argentine peso"
"Colón, Entre Ríos","Argentine peso"
"Concordia, Entre Ríos","Argentine peso"
"Coronda","Argentine peso"
"Esquina, Corrientes","Argentine peso"
"Federación, Entre Ríos","Argentine peso"
"Goya, Argentina","Argentine peso"
"Luján, Buenos Aires","Argentine peso"
"Oberá","Argentine peso"
"Palpalá","Argentine peso"
"Puerto Iguazú","Argentine peso"
"San Pedro, Buenos Aires","Argentine peso"
"Tigre, Buenos Aires","Argentine peso"
"Villa Elisa, Entre Ríos","Argentine peso"
"Clorinda, Formosa","Argentine peso"
"Arrecifes","Argentine peso"
"Termas de Río Hondo","Argentine peso"
"Tres Isletas","Argentine peso"
"Chivilcoy","Argentine peso"
"Firmat","Argentine peso"
"Las Lomitas","Argentine peso"
"Puerto Madryn","Argentine peso"
"Tornquist, Buenos Aires","Argentine peso"
"Aluminé (town)","Argentine peso"
"Armstrong, Argentina","Argentine peso"
"Carlos Spegazzini, Buenos Aires","Argentine peso"
"Villa Cura Brochero","Argentine peso"
"Villa Domínico","Argentine peso"
"El Mollar","Argentine peso"
"La Unión, Buenos Aires","Argentine peso"
"Real del Padre","Argentine peso"
"Capitán Bermúdez","Argentine peso"
"Comodoro Rivadavia","Argentine peso"
"General Pacheco","Argentine peso"
"General Pico","Argentine peso"
"General Roca, Río Negro","Argentine peso"
"Godoy Cruz, Mendoza","Argentine peso"
"Gualeguay, Entre Ríos","Argentine peso"
"Lomas de Zamora","Argentine peso"
"Mar del Plata","Argentine peso"
"Punta Alta","Argentine peso"
"Quilmes","Argentine peso"
"Santa Elena, Entre Ríos","Argentine peso"
"Santa Teresita, Buenos Aires","Argentine peso"
"Temperley, Argentina","Argentine peso"
"Villa María, Córdoba","Argentine peso"
"Arroyito, Córdoba","Argentine peso"
"Berisso","Argentine peso"
"Cipolletti","Argentine peso"
"Gobernador Virasoro","Argentine peso"
"San Javier, Santa Fe","Argentine peso"
"Cruz del Eje","Argentine peso"
"Sunchales","Argentine peso"
"Urdinarrain","Argentine peso"
"Villa Gobernador Gálvez","Argentine peso"
"Villa de Mayo","Argentine peso"
"Añatuya","Argentine peso"
"Banda del Río Salí","Argentine peso"
"Bella Vista, Tucumán","Argentine peso"
"Belén de Escobar","Argentine peso"
"Chajarí","Argentine peso"
"General Rodríguez","Argentine peso"
"Gregorio de Laferrère, Buenos Aires","Argentine peso"
"Machagai","Argentine peso"
"Las Heras, Santa Cruz","Argentine peso"
"Rafael Calzada, Buenos Aires","Argentine peso"
"San José, Entre Ríos","Argentine peso"
"Caucete","Argentine peso"
"Arias, Argentina","Argentine peso"
"Santa Lucía, Corrientes","Argentine peso"
"San Bernardo del Tuyú","Argentine peso"
"Alta Gracia","Argentine peso"
"Cosquín, Argentina","Argentine peso"
"Formosa, Argentina","Argentine peso"
"Jesús María, Argentina","Argentine peso"
"Luján de Cuyo","Argentine peso"
"Marcos Juárez","Argentine peso"
"Mendoza, Argentina","Argentine peso"
"Neuquén","Argentine peso"
"Posadas, Misiones","Argentine peso"
"Resistencia, Chaco","Argentine peso"
"Río Gallegos, Santa Cruz","Argentine peso"
"San Fernando del Valle de Catamarca","Argentine peso"
"San Luis, Argentina","Argentine peso"
"San Nicolás de los Arroyos","Argentine peso"
"San Salvador de Jujuy","Argentine peso"
"Santa Rosa, La Pampa","Argentine peso"
"Santiago del Estero","Argentine peso"
"Viedma, Río Negro","Argentine peso"
"Villa Carlos Paz","Argentine peso"
"Zapala","Argentine peso"
"Anillaco","Argentine peso"
"Bell Ville","Argentine peso"
"Esperanza, Santa Fe","Argentine peso"
"Unquillo","Argentine peso"
"Carcarañá","Argentine peso"
"Famaillá","Argentine peso"
"Trenque Lauquen","Argentine peso"
"Alejandro Korn, Buenos Aires","Argentine peso"
"Arroyo Seco, Santa Fe","Argentine peso"
"Glew, Argentina","Argentine peso"
"La Paz, Entre Ríos","Argentine peso"
"Las Flores, Buenos Aires","Argentine peso"
"Remedios de Escalada","Argentine peso"
"Simoca","Argentine peso"
"Comandante Fontana, Chaco","Argentine peso"
"Maipú, Mendoza","Argentine peso"
"Puerto Deseado","Argentine peso"
"Coronel Suárez","Argentine peso"
"Tafí del Valle","Argentine peso"
"La Banda","Argentine peso"
"Pilar, Buenos Aires","Argentine peso"
"San Antonio de Padua","Argentine peso"
"Cafayate","Argentine peso"
"Capilla del Monte","Argentine peso"
"Concarán","Argentine peso"
"Humahuaca","Argentine peso"
"Necochea","Argentine peso"
"San Martín de los Andes","Argentine peso"
"San Pedro de Jujuy","Argentine peso"
"Federal, Entre Ríos","Argentine peso"
"Mariano Acosta, Buenos Aires","Argentine peso"
"Miramar, Buenos Aires","Argentine peso"
"Pontevedra, Buenos Aires","Argentine peso"
"Puerto General San Martín","Argentine peso"
"Rivadavia, Mendoza","Argentine peso"
"San Justo, Santa Fe","Argentine peso"
"Parque San Martín, Buenos Aires","Argentine peso"
"Roldán, Santa Fe","Argentine peso"
"Rosario del Tala","Argentine peso"
"San Carlos Centro","Argentine peso"
"San Martín, Mendoza","Argentine peso"
"Llavallol","Argentine peso"
"Jardín América","Argentine peso"
"Leandro N. Alem, Misiones","Argentine peso"
"Berazategui","Argentine peso"
"Ensenada, Buenos Aires","Argentine peso"
"Pergamino","Argentine peso"
"Presidencia Roque Sáenz Peña","Argentine peso"
"San Justo, Buenos Aires","Argentine peso"
"Sarandí, Buenos Aires","Argentine peso"
"Venado Tuerto","Argentine peso"
"Lobos","Argentine peso"
"Bernardo de Irigoyen, Misiones","Argentine peso"
"Diamante, Entre Ríos","Argentine peso"
"Sierra Grande, Río Negro","Argentine peso"
"General José de San Martín, Chaco","Argentine peso"
"San Salvador, Entre Ríos","Argentine peso"
"Villa Krause","Argentine peso"
"Concepción, Tucumán","Argentine peso"
"Rafael Castillo, Buenos Aires","Argentine peso"
"Allen, Río Negro","Argentine peso"
"Empedrado, Corrientes","Argentine peso"
"El Jagüel","Argentine peso"
"Monte Caseros, Corrientes","Argentine peso"
"Cerrillos, Salta","Argentine peso"
"Eldorado, Misiones","Argentine peso"
"Las Heras, Mendoza","Argentine peso"
"General Deheza","Argentine peso"
"Laboulaye, Argentina","Argentine peso"
"Lomas del Mirador","Argentine peso"
"Manuel B. Gonnet","Argentine peso"
"Puerto Rico, Argentina","Argentine peso"
"San Antonio de Areco","Argentine peso"
"San José de Feliciano","Argentine peso"
"Santo Tomé, Santa Fe","Argentine peso"
"Trujui","Argentine peso"
"Villa Fiorito","Argentine peso"
"Chamical","Argentine peso"
"Las Perdices","Argentine peso"
"Turdera","Argentine peso"
"Salvador Mazza, Salta","Argentine peso"
"General Alvear, Buenos Aires","Argentine peso"
"Batán, Argentina","Argentine peso"
"Chimbas","Argentine peso"
"Crespo, Entre Ríos","Argentine peso"
"Rafaela","Argentine peso"
"San Antonio Oeste","Argentine peso"
"Villa General Belgrano","Argentine peso"
"Libertador General San Martín, Jujuy","Argentine peso"
"Nogoyá","Argentine peso"
"San Cristóbal, Santa Fe","Argentine peso"
"Tilcara","Argentine peso"
"Caleta Olivia","Argentine peso"
"Chascomús","Argentine peso"
"Ramos Mejía","Argentine peso"
"Adrogué","Argentine peso"
"Banfield, Argentina","Argentine peso"
"Ciudad Evita","Argentine peso"
"Coronel Pringles","Argentine peso"
"José C. Paz, Buenos Aires","Argentine peso"
"Martínez, Buenos Aires","Argentine peso"
"Nueve de Julio, Buenos Aires","Argentine peso"
"Río Cuarto, Córdoba","Argentine peso"
"Tunuyán","Argentine peso"
"Vera, Santa Fe","Argentine peso"
"Villa Mercedes","Argentine peso"
"Villa Mercedes, San Luis","Argentine peso"
"Villaguay","Argentine peso"
"Morteros","Argentine peso"
"América, Argentina","Argentine peso"
"Chos Malal","Argentine peso"
"Las Parejas","Argentine peso"
"Morón, Buenos Aires","Argentine peso"
"Rufino, Santa Fe","Argentine peso"
"San Francisco, Argentina","Argentine peso"
"Villa Ballester","Argentine peso"
"Apóstoles","Argentine peso"
"Paso de los Libres","Argentine peso"
"El Trébol","Argentine peso"
"Villa Huidobro","Argentine peso"
"Huinca Renancó","Argentine peso"
"Villa Cañás","Argentine peso"
"Justo Daract, San Luis","Argentine peso"
"Brandsen","Argentine peso"
"Yerevan","Armenian dram sign"
"Vanadzor","Armenian dram sign"
"Gyumri","Armenian dram sign"
"Chilecito","Argentine peso"
"Concepción del Uruguay","Argentine peso"
"Ituzaingó, Buenos Aires","Argentine peso"
"Santo Tomé, Corrientes","Argentine peso"
"Colón, Buenos Aires","Argentine peso"
"Wilde, Buenos Aires","Argentine peso"
"Capilla del Señor","Argentine peso"
"Cutral Có","Argentine peso"
"General Cabrera","Argentine peso"
"Tostado, Santa Fe","Argentine peso"
"Virrey del Pino","Argentine peso"
"González Catán","Argentine peso"
"Río Ceballos","Argentine peso"
"Río Grande, Tierra del Fuego","Argentine peso"
"San Roque, Corrientes","Argentine peso"
"Santa María, Catamarca","Argentine peso"
"Trelew","Argentine peso"
"Villa Gesell","Argentine peso"
"Curuzú Cuatiá","Argentine peso"
"Florencio Varela, Buenos Aires","Argentine peso"
"Funes, Santa Fe","Argentine peso"
"Victoria, Entre Ríos","Argentine peso"
"Aguaray","Argentine peso"
"Alderetes","Argentine peso"
"Libertad, Buenos Aires","Argentine peso"
"Sauce Viejo, Argentina","Argentine peso"
"Béccar","Argentine peso"
"San Agustín, Córdoba","Argentine peso"
"Eduardo Castex","Argentine peso"
"General Lavalle","Argentine peso"
"San Francisco Solano","Argentine peso"
"Grand Bourg","Argentine peso"
"Atalaya, Argentina","Argentine peso"
"Calchín","Argentine peso"
"Santa Victoria Este","Argentine peso"
"San Isidro, Buenos Aires","Argentine peso"
"Ezeiza, Buenos Aires","Argentine peso"
"Villa Dolores","Argentine peso"
"Burzaco","Argentine peso"
"Las Breñas","Argentine peso"
"Loreto, Santiago del Estero","Argentine peso"
"Merlo, Buenos Aires","Argentine peso"
"Piedra del Águila","Argentine peso"
"Plottier","Argentine peso"
"Rosario de Lerma","Argentine peso"
"San Isidro de Lules","Argentine peso"
"San Javier, Misiones","Argentine peso"
"San José de Fray Mamerto Esquiú","Argentine peso"
"Villa Regina","Argentine peso"
"General Alvear, Mendoza","Argentine peso"
"Ostende, Buenos Aires","Argentine peso"
"Villa del Rosario, Córdoba","Argentine peso"
"Bragado","Argentine peso"
"General Güemes, Salta","Argentine peso"
"San Ramón de la Nueva Orán","Argentine peso"
"Ciudad Jardín El Libertador","Argentine peso"
"Villa Centenario","Argentine peso"
"La Tablada","Argentine peso"
"Gálvez, Santa Fe","Argentine peso"
"Punta Lara","Argentine peso"
"Hrazdan","Armenian dram sign"
"Vagharshapat","Armenian dram sign"
"Kumayri historic district","Armenian dram sign"
"Yerevan","Armenian dram"
"Vanadzor","Armenian dram"
"Gyumri","Armenian dram"
"Hrazdan","Armenian dram"
"Vagharshapat","Armenian dram"
"Kumayri historic district","Armenian dram"
"Busselton","Australian dollar"
"Gladstone, Queensland","Australian dollar"
"Warrnambool","Australian dollar"
"Frankston, Victoria","Australian dollar"
"Grafton, New South Wales","Australian dollar"
"Queanbeyan","Australian dollar"
"Karratha, Western Australia","Australian dollar"
"Chester Hill","Australian dollar"
"Adelaide","Australian dollar"
"Ballarat","Australian dollar"
"Bathurst, New South Wales","Australian dollar"
"Bendigo","Australian dollar"
"Brisbane","Australian dollar"
"Canberra","Australian dollar"
"Gold Coast, Queensland","Australian dollar"
"Melbourne","Australian dollar"
"Perth","Australian dollar"
"Sydney","Australian dollar"
"Townsville","Australian dollar"
"Murray Bridge, South Australia","Australian dollar"
"Portland, Victoria","Australian dollar"
"Wangaratta","Australian dollar"
"Heybridge, Tasmania","Australian dollar"
"Ipswich, Queensland","Australian dollar"
"Orange, New South Wales","Australian dollar"
"Taree","Australian dollar"
"Albury","Australian dollar"
"Ararat, Victoria","Australian dollar"
"Armidale","Australian dollar"
"Bairnsdale","Australian dollar"
"Benalla","Australian dollar"
"Broken Hill","Australian dollar"
"Burnie","Australian dollar"
"Cessnock, New South Wales","Australian dollar"
"Coffs Harbour","Australian dollar"
"Darwin, Northern Territory","Australian dollar"
"Devonport, Tasmania","Australian dollar"
"Dubbo","Australian dollar"
"Geelong","Australian dollar"
"Goulburn","Australian dollar"
"Griffith, New South Wales","Australian dollar"
"Hobart","Australian dollar"
"Horsham, Victoria","Australian dollar"
"Launceston, Tasmania","Australian dollar"
"Lismore, New South Wales","Australian dollar"
"Morwell","Australian dollar"
"Mount Gambier","Australian dollar"
"Newcastle, New South Wales","Australian dollar"
"Palmerston, Northern Territory","Australian dollar"
"Port Augusta","Australian dollar"
"Port Lincoln","Australian dollar"
"Port Pirie","Australian dollar"
"Tamworth, New South Wales","Australian dollar"
"Wagga Wagga","Australian dollar"
"Whyalla","Australian dollar"
"Wodonga","Australian dollar"
"Wollongong","Australian dollar"
"Blacktown","Australian dollar"
"Kingston, Norfolk Island","Australian dollar"
"Parramatta","Australian dollar"
"Naracoopa, Tasmania","Australian dollar"
"Gosford","Australian dollar"
"Kalgoorlie","Australian dollar"
"Rockhampton","Australian dollar"
"Toowoomba","Australian dollar"
"Mackay, Queensland","Australian dollar"
"Southport, Queensland","Australian dollar"
"Mount Isa","Australian dollar"
"Castlemaine, Victoria","Australian dollar"
"Bundaberg","Australian dollar"
"City of Salisbury","Australian dollar"
"Merewether, New South Wales","Australian dollar"
"Lowther, New South Wales","Australian dollar"
"Cairns","Australian dollar"
"Lithgow, New South Wales","Australian dollar"
"Sale, Victoria","Australian dollar"
"Bowen, Queensland","Australian dollar"
"Salt Ash, New South Wales","Australian dollar"
"Tomakin, New South Wales","Australian dollar"
"Hamilton, Victoria","Australian dollar"
"Pakenham, Victoria","Australian dollar"
"Geraldton","Australian dollar"
"Hervey Bay","Australian dollar"
"Joondalup","Australian dollar"
"Maitland, New South Wales","Australian dollar"
"Mandurah","Australian dollar"
"Tweed Heads","Australian dollar"
"Tweed Heads, New South Wales","Australian dollar"
"Campbelltown, New South Wales","Australian dollar"
"Ecco Ripley","Australian dollar"
"Waukivory","Australian dollar"
"Fremantle","Australian dollar"
"Poowong, Victoria","Australian dollar"
"Albany, Western Australia","Australian dollar"
"Mildura","Australian dollar"
"Rockingham, Western Australia","Australian dollar"
"Dandenong","Australian dollar"
"Dandenong, Victoria","Australian dollar"
"Traralgon","Australian dollar"
"Bunbury, Western Australia","Australian dollar"
"Shepparton","Australian dollar"
"Swan Hill","Australian dollar"
"Adelong, New South Wales","Australian dollar"
"Wyong, New South Wales","Australian dollar"
"Gympie","Australian dollar"
"Nerrigundah, New South Wales","Australian dollar"
"Penrith, New South Wales","Australian dollar"
"Mount Morgan, Queensland","Australian dollar"
"Victor Harbor, South Australia","Australian dollar"
"City of Gold Coast","Australian dollar"
"Kilmany, Victoria","Australian dollar"
"Xırdalan","Azerbaijani manat"
"Astara, Azerbaijan","Azerbaijani manat"
"Shamkir (city)","Azerbaijani manat"
"Şabran","Azerbaijani manat"
"Khojaly, Nagorno-Karabakh","Azerbaijani manat"
"St Arnaud, Victoria","Australian dollar"
"Lewisham, Tasmania","Australian dollar"
"Lerik, Azerbaijan","Azerbaijani manat"
"Dashkasan (city)","Azerbaijani manat"
"Goranboy (city)","Azerbaijani manat"
"Göytəpə, Jalilabad","Azerbaijani manat"
"Gədəbəy","Azerbaijani manat"
"Imishli (city)","Azerbaijani manat"
"Baku","Azerbaijani manat"
"Nakhchivan (city)","Azerbaijani manat"
"Shusha","Azerbaijani manat"
"Quba","Azerbaijani manat"
"Ucar, Azerbaijan","Azerbaijani manat"
"Stepanakert","Azerbaijani manat"
"Aghdam","Azerbaijani manat"
"Julfa, Azerbaijan (city)","Azerbaijani manat"
"Sharur","Azerbaijani manat"
"Shamakhi","Azerbaijani manat"
"Zangilan","Azerbaijani manat"
"Hajiqabul","Azerbaijani manat"
"Qovlar","Azerbaijani manat"
"Beylagan (city)","Azerbaijani manat"
"Masallı","Azerbaijani manat"
"Fuzuli (city)","Azerbaijani manat"
"Martakert","Azerbaijani manat"
"Qabala","Azerbaijani manat"
"Neftçala","Azerbaijani manat"
"Qusar (city)","Azerbaijani manat"
"Barda, Azerbaijan","Azerbaijani manat"
"Cəlilabad","Azerbaijani manat"
"Goygol (city)","Azerbaijani manat"
"Khachmaz (city)","Azerbaijani manat"
"Yardımlı","Azerbaijani manat"
"Ismayilli","Azerbaijani manat"
"Sabirabad (city)","Azerbaijani manat"
"Şahbuz","Azerbaijani manat"
"Tartar (city)","Azerbaijani manat"
"Aghjabadi","Azerbaijani manat"
"Agstafa","Azerbaijani manat"
"Dəliməmmədli","Azerbaijani manat"
"Khudat","Azerbaijani manat"
"Gobustan (town)","Azerbaijani manat"
"Zardab (city)","Azerbaijani manat"
"Babek, Azerbaijan","Azerbaijani manat"
"Agdash, Azerbaijan","Azerbaijani manat"
"Qazax","Azerbaijani manat"
"Balakən","Azerbaijani manat"
"Zaqatala (city)","Azerbaijani manat"
"Goychay (city)","Azerbaijani manat"
"Agsu (city)","Azerbaijani manat"
"Lachin","Azerbaijani manat"
"Martuni, Nagorno-Karabakh","Azerbaijani manat"
"Ordubad","Azerbaijani manat"
"Jabrayil","Azerbaijani manat"
"Khizi","Azerbaijani manat"
"Liman, Azerbaijan","Azerbaijani manat"
"Kurdamir","Azerbaijani manat"
"Qıvraq","Azerbaijani manat"
"Oğuz (city)","Azerbaijani manat"
"Qakh (city)","Azerbaijani manat"
"Qubadli","Azerbaijani manat"
"Salyan, Azerbaijan","Azerbaijani manat"
"Siyazan","Azerbaijani manat"
"Samukh","Azerbaijani manat"
"Manama","Bahraini dinar"
"Saatlı (city)","Azerbaijani manat"
"Kalbajar","Azerbaijani manat"
"Munshiganj","Bangladeshi taka"
"Bogra","Bangladeshi taka"
"Habiganj","Bangladeshi taka"
"Jhalokati","Bangladeshi taka"
"Benapole","Bangladeshi taka"
"Madhabdi","Bangladeshi taka"
"Rajbari, Bangladesh","Bangladeshi taka"
"Jessore","Bangladeshi taka"
"Narayanganj","Bangladeshi taka"
"Bagerhat","Bangladeshi taka"
"Khulna","Bangladeshi taka"
"Satkhira","Bangladeshi taka"
"Muharraq","Bahraini dinar"
"Faridpur, Bangladesh","Bangladeshi taka"
"Kishoreganj","Bangladeshi taka"
"Manikganj","Bangladeshi taka"
"Kaliakair","Bangladeshi taka"
"Jidhafs","Bahraini dinar"
